Parent_Code,WordIndex
RXNORM:6932,919
PheCode:663.00,920
CCS-PCS:140,921
RXNORM:1399,922
RXNORM:214183,923
NDFRT:N0000029344,924
RXNORM:36387,925
PheCode:382.00,926
PheCode:627.20,927
PheCode:727.40,928
PheCode:110.11,929
PheCode:110.10,930
RXNORM:21090,931
RXNORM:37801,932
PheCode:112.30,933
50949-7,934
25428-4,935
RXNORM:37418,936
PheCode:626.12,937
PheCode:117.00,938
PheCode:614.33,939
PheCode:368.00,940
PheCode:306.90,941
PheCode:008.00,942
RXNORM:57258,943
7900-4,944
PheCode:635.20,945
PheCode:653.00,946
PheCode:645.00,947
PheCode:655.10,948
PheCode:676.00,949
RXNORM:42331,950
CCS-PCS:141,951
PheCode:535.00,952
PheCode:078.00,953
RXNORM:6373,954
PheCode:292.30,955
PheCode:526.42,956
PheCode:772.20,957
PheCode:327.00,958
PheCode:592.20,959
PheCode:317.10,960
PheCode:263.00,961
14959-1,962
14957-5,963
5640-8,964
PheCode:300.80,965
RXNORM:2670,966
PheCode:216.00,967
RXNORM:88249,968
RXNORM:1992,969
PheCode:497.00,970
PheCode:173.00,971
PheCode:368.10,972
RXNORM:646781,973
RXNORM:1348,974
PheCode:270.31,975
PheCode:279.20,976
14611-8,977
49296-7,978
X1553-7,979
PheCode:960.10,980
PheCode:738.40,981
CCS-PCS:180,982
PheCode:715.10,983
RXNORM:214555,984
PheCode:1011.00,985
RXNORM:5781,986
71773-6,987
74278-3,988
PheCode:715.20,989
PheCode:704.80,990
15410-4,991
RXNORM:6851,992
69936-3,993
10650-0,994
47322-3,995
PheCode:742.90,996
RXNORM:18602,997
RXNORM:3108,998
RXNORM:6064,999
RXNORM:10636,1000
CCS-PCS:168,1001
PheCode:380.40,1002
PheCode:961.10,1003
RXNORM:465397,1004
PheCode:384.40,1005
PheCode:324.00,1006
PheCode:705.30,1007
PheCode:686.00,1008
PheCode:681.30,1009
RXNORM:20791,1010
PheCode:261.20,1011
PheCode:523.00,1012
PheCode:1001.00,1013
PheCode:873.00,1014
PheCode:694.10,1015
PheCode:008.60,1016
RXNORM:2590,1017
PheCode:286.70,1018
PheCode:626.10,1019
4679-7,1020
69049-5,1021
6014-5,1022
27816-8,1023
3211-0,1024
PheCode:611.30,1025
RXNORM:2393,1026
PheCode:781.00,1027
RXNORM:1291,1028
RXNORM:324044,1029
RXNORM:2418,1030
7984-8,1031
7983-0,1032
PheCode:240.00,1033
PheCode:242.00,1034
RXNORM:6835,1035
RXNORM:1202,1036
X1502-4,1037
CCS-PCS:192,1038
PheCode:293.10,1039
PheCode:245.10,1040
RXNORM:8787,1041
PheCode:427.30,1042
PheCode:401.30,1043
RXNORM:82122,1044
NDFRT:N0000029165,1045
NDFRT:N0000029305,1046
11282-1,1047
33762-6,1048
17862-4,1049
PheCode:519.90,1050
PheCode:242.10,1051
CCS-PCS:178,1052
RXNORM:6676,1053
779-9,1054
CCS-PCS:177,1055
PheCode:573.70,1056
PheCode:790.60,1057
30434-5,1058
PheCode:727.10,1059
PheCode:871.10,1060
RXNORM:37415,1061
RXNORM:7052,1062
PheCode:619.10,1063
2524-7,1064
PheCode:429.30,1065
PheCode:522.50,1066
PheCode:288.20,1067
PheCode:427.11,1068
PheCode:276.14,1069
PheCode:526.50,1070
RXNORM:67108,1071
RXNORM:8591,1072
RXNORM:3423,1073
RXNORM:6204,1074
43305-2,1075
43304-5,1076
PheCode:297.20,1077
RXNORM:8794,1078
RXNORM:6582,1079
PheCode:782.30,1080
CCS-PCS:191,1081
PheCode:642.00,1082
PheCode:710.19,1083
PheCode:710.11,1084
35474-6,1085
1834-1,1086
22497-2,1087
PheCode:282.80,1088
PheCode:244.40,1089
RXNORM:35465,1090
CCS-PCS:138,1091
40673-6,1092
74794-9,1093
30567-2,1094
2888-6,1095
2890-2,1096
XC372-3,1097
XC211-3,1098
RXNORM:1514,1099
2532-0,1100
11235-9,1101
PheCode:652.00,1102
RXNORM:10154,1103
RXNORM:2180,1104
RXNORM:10368,1105
4633-4,1106
CCS-PCS:134,1107
RXNORM:7417,1108
RXNORM:84158,1109
35597-4,1110
33223-9,1111
3397-7,1112
19343-3,1113
X1294-8,1114
14334-7,1115
19359-9,1116
19270-8,1117
19261-7,1118
19550-3,1119
19295-5,1120
19415-9,1121
14316-4,1122
19659-2,1123
19312-8,1124
PheCode:305.21,1125
33768-3,1126
5820-6,1127
6901-3,1128
56469-0,1129
17849-1,1130
42810-2,1131
RXNORM:7243,1132
PheCode:426.70,1133
PheCode:426.31,1134
RXNORM:215830,1135
19642-8,1136
PheCode:295.10,1137
RXNORM:61381,1138
RXNORM:1040028,1139
RXNORM:11248,1140
RXNORM:692572,1141
RXNORM:1596,1142
RXNORM:1008574,1143
RXNORM:1897,1144
19994-3,1145
1959-6,1146
X1524-8,1147
30318-0,1148
20564-1,1149
2713-6,1150
XC491-1,1151
32693-4,1152
X1173-4,1153
11558-4,1154
11556-8,1155
11557-6,1156
11273-0,1157
PheCode:250.10,1158
RXNORM:4832,1159
RXNORM:797541,1160
RXNORM:5856,1161
81155-4,1162
69726-8,1163
